Pays,Annee,Categorie de vehicules,Polluant,emission facteur,Unite
FR,2040,VT,mcarb,"37,647",[g/Vehkm]
FR,2040,VT,NOx,"0,121",[g/Vehkm]
FR,2040,VT,PM,"0,001",[g/Vehkm]
FR,2045,CAR,carb_MJ,"5,827",[MJ/Vehkm]
FR,2045,CAR,CO,"0,218",[g/Vehkm]
FR,2045,CAR,CO2(rep),"321,083",[g/Vehkm]
FR,2045,CAR,HC,"0,04",[g/Vehkm]
FR,2045,CAR,mcarb,"140,119",[g/Vehkm]
FR,2045,CAR,NOx,"0,242",[g/Vehkm]
FR,2045,CAR,PM,"0,003",[g/Vehkm]
FR,2045,LBus,carb_MJ,"9,519",[MJ/Vehkm]
FR,2045,LBus,CO,"0,317",[g/Vehkm]
FR,2045,LBus,CO2(rep),"316,127",[g/Vehkm]
FR,2045,LBus,HC,"0,067",[g/Vehkm]
FR,2045,LBus,mcarb,"178,781",[g/Vehkm]
FR,2045,LBus,NOx,"0,292",[g/Vehkm]
FR,2045,LBus,PM,"0,006",[g/Vehkm]
FR,2045,MC,carb_MJ,"1,244",[MJ/Vehkm]
FR,2045,MC,CO,"0,59",[g/Vehkm]
FR,2045,MC,CO2(rep),"68,225",[g/Vehkm]
FR,2045,MC,HC,"0,413",[g/Vehkm]
FR,2045,MC,mcarb,"32,037",[g/Vehkm]
FR,2045,MC,NOx,"0,018",[g/Vehkm]
FR,2045,MC,PM,"0,026",[g/Vehkm]
FR,2045,PLM,carb_MJ,"7,744",[MJ/Vehkm]
FR,2045,PLM,CO,"0,367",[g/Vehkm]
FR,2045,PLM,CO2(rep),"379,24",[g/Vehkm]
FR,2045,PLM,HC,"0,19",[g/Vehkm]
FR,2045,PLM,mcarb,"180,798",[g/Vehkm]
FR,2045,PLM,NOx,"0,439",[g/Vehkm]
FR,2045,PLM,PM,"0,004",[g/Vehkm]
FR,2045,VL,carb_MJ,"2,282",[MJ/Vehkm]
FR,2045,VL,CO,"0,969",[g/Vehkm]
FR,2045,VL,CO2(rep),"116,996",[g/Vehkm]
FR,2045,VL,HC,"0,066",[g/Vehkm]
FR,2045,VL,mcarb,"50,881",[g/Vehkm]
FR,2045,VL,NOx,"0,088",[g/Vehkm]
FR,2045,VL,PM,"0,021",[g/Vehkm]
FR,2045,VT,carb_MJ,"1,529",[MJ/Vehkm]
FR,2045,VT,CO,"0,568",[g/Vehkm]
FR,2045,VT,CO2(rep),"74,263",[g/Vehkm]
FR,2045,VT,HC,"0,096",[g/Vehkm]
FR,2045,VT,mcarb,"34,516",[g/Vehkm]
FR,2045,VT,NOx,"0,073",[g/Vehkm]
FR,2045,VT,PM,"0,001",[g/Vehkm]
FR,2050,CAR,carb_MJ,"5,467",[MJ/Vehkm]
FR,2050,CAR,CO,"0,211",[g/Vehkm]
FR,2050,CAR,CO2(rep),"40,227",[g/Vehkm]
FR,2050,CAR,HC,"0,041",[g/Vehkm]
FR,2050,CAR,mcarb,"141,766",[g/Vehkm]
FR,2050,CAR,NOx,"0,228",[g/Vehkm]
FR,2050,CAR,PM,"0,003",[g/Vehkm]
FR,2050,LBus,carb_MJ,"9,095",[MJ/Vehkm]
FR,2050,LBus,CO,"0,315",[g/Vehkm]
FR,2050,LBus,CO2(rep),"59,475",[g/Vehkm]
FR,2050,LBus,HC,"0,068",[g/Vehkm]
FR,2050,LBus,mcarb,"170,36",[g/Vehkm]
FR,2050,LBus,NOx,"0,279",[g/Vehkm]
FR,2050,LBus,PM,"0,006",[g/Vehkm]
FR,2050,MC,carb_MJ,"1,196",[MJ/Vehkm]
FR,2050,MC,CO,"0,582",[g/Vehkm]
FR,2050,MC,CO2(rep),"8,478",[g/Vehkm]
FR,2050,MC,HC,"0,407",[g/Vehkm]
FR,2050,MC,mcarb,"42,006",[g/Vehkm]
FR,2050,MC,NOx,"0,017",[g/Vehkm]
FR,2050,MC,PM,"0,025",[g/Vehkm]
FR,2050,PLM,carb_MJ,"7,354",[MJ/Vehkm]
FR,2050,PLM,CO,"0,403",[g/Vehkm]
FR,2050,PLM,CO2(rep),"55,082",[g/Vehkm]
FR,2050,PLM,HC,"0,216",[g/Vehkm]
FR,2050,PLM,mcarb,"182,678",[g/Vehkm]
FR,2050,PLM,NOx,"0,464",[g/Vehkm]
FR,2050,PLM,PM,"0,004",[g/Vehkm]
FR,2050,VL,carb_MJ,"2,077",[MJ/Vehkm]
FR,2050,VL,CO,"1,225",[g/Vehkm]
FR,2050,VL,CO2(rep),"11,084",[g/Vehkm]
FR,2050,VL,HC,"0,079",[g/Vehkm]
FR,2050,VL,mcarb,"50,766",[g/Vehkm]
FR,2050,VL,NOx,"0,082",[g/Vehkm]
FR,2050,VL,PM,"0,019",[g/Vehkm]
FR,2050,VT,carb_MJ,"1,404",[MJ/Vehkm]
FR,2050,VT,CO,"0,518",[g/Vehkm]
FR,2050,VT,CO2(rep),"4,209",[g/Vehkm]
FR,2050,VT,HC,"0,088",[g/Vehkm]
FR,2050,VT,mcarb,"38,805",[g/Vehkm]
FR,2050,VT,NOx,"0,055",[g/Vehkm]
FR,2050,VT,PM,"0,001",[g/Vehkm]
